Directory,Filename,Mapping,State,AnNo,Group,Unit,class,class_2
D:\SubRet_recordings_imaging\LSubRet3\recording\move spatial cues\S1_hab1,10102017_LSubRet3_spacue_1_1.set,CL-SR_1-3.py,Lesion,3,4,1,NS_FF,RS
D:\SubRet_recordings_imaging\LSubRet3\recording\big sq\12092017,12092017_LSubRet3_bigsq_d4_1.set,CL-SR_1-3.py,Lesion,3,3,1,NS_TH,B
D:\SubRet_recordings_imaging\LSubRet3\recording\big sq\12092017,12092017_LSubRet3_bigsq_d4_1.set,CL-SR_1-3.py,Lesion,3,5,1,NS_FF,B
D:\SubRet_recordings_imaging\LSubRet3\recording\big sq\12092017,12092017_LSubRet3_bigsq_d4_1.set,CL-SR_1-3.py,Lesion,3,5,2,NS_FF,RS
D:\SubRet_recordings_imaging\LSubRet3\recording\big sq\14092017,14092017_LSubRet3_bigsq_d5_1.set,CL-SR_1-3.py,Lesion,3,3,1,NS_FF,B
D:\SubRet_recordings_imaging\LSubRet3\recording\small sq_habituation\23082017,23082017_LSubRet3_smallsq_d2_1.set,CL-SR_1-3.py,Lesion,3,4,1,NS_TH,B
D:\SubRet_recordings_imaging\LSubRet5\recording\Small sq up_small sq down\01122017\S1_small sq up,01122017_smallsqdownup_up_1_1.set,CL-SR_4-6.py,Lesion,5,3,1,NS_FF,RS
D:\SubRet_recordings_imaging\LSubRet5\recording\small sq_screen\21112017,ab112017_LSubRet5_smallsq_screen_3.set,CL-SR_1-3.py,Lesion,5,3,1,NS_TH,B
D:\SubRet_recordings_imaging\LSubRet5\recording\small sq_screen\21112017,ab112017_LSubRet5_smallsq_screen_3.set,CL-SR_1-3.py,Lesion,5,3,2,NS_FF,TH_FS
D:\SubRet_recordings_imaging\LSubRet5\recording\small sq_screen\23112017,23112017_LSubRet5_smallsq_screen_6.set,CL-SR_4-6.py,Lesion,5,3,1,NS_FF,B
D:\SubRet_recordings_imaging\LSubRet5\recording\small sq_screen\23112017,23112017_LSubRet5_smallsq_screen_6.set,CL-SR_4-6.py,Lesion,5,12,1,NS_FF,B
D:\SubRet_recordings_imaging\LSubRet5\recording\small sq_screen\26112017,26112017_LSubRet5_smallsq_screen_7.set,CL-SR_4-6.py,Lesion,5,4,1,NS_FF,FS
D:\SubRet_recordings_imaging\LSubRet5\recording\big sq_one wall_2wall\27112017\27112017,27112017_LSR5_bigsq_1_1.set,CL-SR_4-6.py,Lesion,5,3,1,NS_FF,RS
D:\SubRet_recordings_imaging\LSubRet5\recording\big sq_one wall_2wall\27112017\27112017,27112017_LSR5_bigsq_1_1.set,CL-SR_4-6.py,Lesion,5,4,1,NS_FF,B
